0,HeartTeleport,320,304,,,,,,
0,SET,Loop,5,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,4,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,:Attack5,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,304,,,,,,
0,Platform,309,314,31,0,0,,,
0,Platform,309,354,31,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,RND,Side,2,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,
0,BoneV,521,280,31,2,280,,,
0,BoneV,1,319,65,0,280,,,
1.5,BoneV,119,280,31,0,280,,,
0,BoneV,639,319,65,2,280,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack5Other,,,,,,,,
0,BoneV,119,280,31,0,280,,,
0,BoneV,639,319,65,2,280,,,
1.5,BoneV,521,280,31,2,280,,,
0,BoneV,1,319,65,0,280,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,RND,Rot,2,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,
0,GasterBlaster,1,191,306,191,306,0,0.633,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.633,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.633,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.633,0.26666
0.5,GasterBlaster,1,0,0,191,176,45,0.333,0.26666
0,GasterBlaster,1,0,0,451,176,135,0.333,0.26666
0,GasterBlaster,1,0,0,451,436,225,0.333,0.26666
